Description;CC#;Range
Modulation;1;0-127
Portamento time;5;0-31
FX Engine;9;0-127
Voice A Wave;24;0-127
Voice B Wave;25;0-127
Voice C Wave;26;0-127
Voice D Wave;27;0-127
LFO 2 Amount;28;0-99
Fil Env Amount;47;0-127
LFO 1 waveform;54;0-127
LFO 2 waveform;55;0-127
LFO 1 Amount;70;0-99
Filter Resonance;71;0-99
LFO 1 Rate;72;0-99
LFO 2 Rate;73;0-99
Filter Cutoff;74;0-99
Amp Env Attack;81;0-99
Amp Env Decay;82;0-99
Amp Env Sustain;83;0-99
Amp Env Release;84;0-99
Fil Env Attack;85;0-99
Fil Env Decay;86;0-99
Fil Env Sustain;87;0-99
Fil Env Release;88;0-99
Chorus Depth;91;0-99
Chorus Rate;92;0-99
V A Fine Tuning;111;0-99
V B Fine Tuning;112;0-99
V C Fine Tuning;113;0-99
V D Fine Tuning;114;0-99
V A Coarse Tuning;115;0-99
V B Coarse Tuning;116;0-99
V C Coarse Tuning;117;0-99
V D Coarse Tuning;118;0-99
